==================================================
Guiding Idiots - Audio Transcription
==================================================

Audio file: /Users/jeremypotts/Desktop/Guiding Idiots.m4a
File size:  14M
Output directory: /Users/jeremypotts/guiding-idiots/transcripts

Starting transcription...
Model: base (faster, good accuracy)
This may take several minutes for a 14MB file...

/Users/jeremypotts/opt/anaconda3/lib/python3.9/site-packages/numba/__init__.py:141: UserWarning: A NumPy version >=1.22.4 and <2.3.0 is required for this version of SciPy (detected version 1.20.3)
  import scipy
/Users/jeremypotts/opt/anaconda3/lib/python3.9/site-packages/whisper/transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:08.000]  Cool. However, our network is spread across America or Black Jesuit alumni. It
[00:08.000 --> 00:16.920]  would help for engagement continuously if there were, if it were to kind of
[00:16.920 --> 00:22.480]  like establish like chapters, maybe city chapters because it's already
[00:22.480 --> 00:27.440]  everything. So we had Jesuit Black alumni and Atlanta hosting and having certain
[00:27.440 --> 00:33.280]  events. But we had Jesuit alumni in Birmingham doing things, DW doing certain
[00:33.280 --> 00:37.680]  things. New Orleans just based on where these addresses are and where the
[00:37.680 --> 00:41.680]  heat is shown that our members are and then reaching out and pulling them
[00:41.680 --> 00:46.920]  together for maybe monthly, five months and even quarterly events to keep that
[00:46.920 --> 00:54.000]  engagement going. It can become competitive and also lead up to you know our
[00:54.000 --> 00:58.920]  Black alumni weekend. For example, I think that if we had something to
[00:58.920 --> 01:04.080]  establish, I know for sure that I would be able to raise scholarship funds if it
[01:04.080 --> 01:08.440]  was competitive in nature on the outside between somebody like me and Shannon
[01:08.440 --> 01:13.680]  Shelby. So Shannon Shelby says he's over. He's now he's a social person. If he's
[01:13.680 --> 01:17.000]  saying he's hosting something that a whole thing is it look like we're competing
[01:17.000 --> 01:20.680]  but we're really not. We're raising money for the for the scholarship for the
[01:20.680 --> 01:25.200]  scholarship fund. On the outside, it looks like me versus him. But for the same
[01:25.200 --> 01:29.240]  purpose, it's over. Now we're taking it back to Jesuit days. It's an alpha versus
[01:29.240 --> 01:34.120]  capital. But this is really my partner, right? But with but although we're getting
[01:34.120 --> 01:38.520]  people linked in to this being a competitive thing, the overall end goal is
[01:38.520 --> 01:42.320]  that we're raising money for the scholarship. So I would be tasked with putting
[01:42.320 --> 01:47.720]  together my own event, right? And he might be doing his own event and it may be on
[01:47.760 --> 01:53.120]  the same day. But see we both know how to build up that that interest over time and
[01:53.120 --> 01:56.560]  see now when people see it the first time other people are going to want to
[01:56.560 --> 02:01.080]  join in the competition. I owe I'm in this city doing this. Me and the alumni from
[02:01.080 --> 02:05.200]  this city are doing this. You know, when if you're whether your event is
[02:05.200 --> 02:09.800]  winning or losing, the scholarship is winning because all of our money is going
[02:09.800 --> 02:13.600]  towards our scholarship, which is the big thing. So now when we're in the local
[02:13.600 --> 02:18.560]  community, we're still tied in. We still have something we want to go home to,
[02:18.560 --> 02:22.960]  but we're collectively building in so much money into the scholarship, which
[02:22.960 --> 02:29.120]  gives us social capital with Jesuit to be able to request more because we are
[02:29.120 --> 02:34.560]  giving more and we are participating more. Because Darren told me like, bro, our
[02:34.560 --> 02:39.160]  issue is that we don't go and participate in the things that matter to Jesuit.
[02:39.160 --> 02:43.080]  It's not always a matter of race. Sometimes it's a matter of money and what it is
[02:43.080 --> 02:48.000]  that you are bringing to the university for them to give you resources. We
[02:48.000 --> 02:52.400]  can't keep sitting here and when we do, not granted, we are contributors to
[02:52.400 --> 02:56.480]  the scholarship, but things have grown over time. But for Darren to say, I'm on a
[02:56.480 --> 03:00.960]  first-name basis with the university. I'm on a first-name basis with the
[03:00.960 --> 03:05.800]  president of school. He said, I can call and say, hey, don't, why everybody got
[03:05.800 --> 03:08.920]  security and we don't have security. He's like, I show up to the red tie
[03:08.960 --> 03:13.560]  functions and do that. He's like, you guys got to participate more in the official
[03:13.560 --> 03:18.360]  Jesuit things. He's like, it's not just the weekend. The Black alumni chapter
[03:18.360 --> 03:25.360]  itself has a long history that predates the 90s. It's in the 90s that this
